dependent,married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dataset
No,Yes,Female,No,One year,DSL,Yes,No,No,Yes,No,Yes,Yes,No,Yes,eCheck,15.0,152.44,wgu telecom
No,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,Yes,eCheck,10.0,159.98,wgu telecom
Yes,No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Check,10.0,242.61,wgu telecom
No,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Autopay,8.0,182.48,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,No,No,No,No,No,No,No,No,Yes,Autopay,5.0,112.46,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,eCheck,17.0,175.02,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Autopay,7.0,222.63,wgu telecom
Yes,No,Female,No,One year,None,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,10.0,92.49,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Autopay,5.0,179.98,wgu telecom
Yes,No,Male,No,Two year,None,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Autopay,3.0,130.01,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Autopay,10.0,257.64,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,No,Yes,No,No,No,Yes,Yes,No,eCheck,10.0,190.13,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,eCheck,2.0,120.0,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,Yes,No,No,No,Yes,No,No,No,Autopay,12.0,124.99,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Check,18.0,179.97,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Autopay,14.0,230.13,wgu telecom
Yes,No,Female,No,Month-to-month,DSL,No,No,Yes,Yes,Yes,No,No,No,No,Check,24.0,129.99,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,Yes,Autopay,4.0,137.49,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,No,No,Autopay,8.0,134.95,wgu telecom
No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Check,10.0,107.48,wgu telecom
No,No,Female,Yes,Month-to-month,None,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,14.0,220.16,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,Autopay,6.0,144.96,wgu telecom
Yes,No,Male,No,Month-to-month,DSL,Yes,No,No,Yes,No,Yes,Yes,No,No,eCheck,12.0,152.44,wgu telecom
No,No,Male,Yes,Two year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Autopay,7.0,207.61,wgu telecom
Yes,No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Autopay,17.0,182.44,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,eCheck,15.0,207.48,wgu telecom
Yes,No,Female,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,No,Autopay,11.0,114.95,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Autopay,5.0,217.47,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Check,17.0,207.61,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,3.0,207.61,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,No,No,No,No,Yes,No,Yes,No,No,Autopay,10.0,149.96,wgu telecom
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,eCheck,6.0,184.98,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,No,Check,6.0,192.47,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Check,11.0,184.97,wgu telecom
No,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,No,Autopay,4.0,134.95,wgu telecom
Yes,Yes,Female,No,Two year,None,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Autopay,9.0,152.51,wgu telecom
Yes,No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,Check,4.0,220.12,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,2.0,252.64,wgu telecom
Yes,No,Female,Yes,One year,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,eCheck,11.0,187.61,wgu telecom
No,No,Male,No,Month-to-month,None,Yes,No,Yes,No,Yes,No,No,No,Yes,eCheck,6.0,95.02,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,No,Yes,No,No,No,Check,8.0,92.49,wgu telecom
Yes,No,Female,No,Two year,None,Yes,No,Yes,No,Yes,No,No,Yes,Yes,eCheck,12.0,130.01,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,No,Yes,Yes,Yes,Yes,No,No,No,Yes,eCheck,7.0,150.02,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Autopay,4.0,204.95,wgu telecom
Yes,No,Female,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,No,No,No,Autopay,4.0,139.98,wgu telecom
No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Check,3.0,149.94,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Check,26.0,242.61,wgu telecom
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,eCheck,10.0,194.99,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,eCheck,18.0,149.96,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Autopay,2.0,127.5,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,eCheck,7.0,200.12,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,eCheck,11.0,159.95,wgu telecom
Yes,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,eCheck,13.0,179.98,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Check,7.0,204.96,wgu telecom
Yes,Yes,Female,Yes,Two year,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,eCheck,3.0,245.15,wgu telecom
Yes,No,Female,No,Two year,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Check,13.0,174.97,wgu telecom
Yes,No,Female,Yes,Two year,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,21.0,270.16,wgu telecom
Yes,Yes,Female,Yes,Two year,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Autopay,27.0,245.15,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Check,7.0,152.47,wgu telecom
Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Autopay,19.0,152.51,wgu telecom
No,No,Female,No,Two year,DSL,Yes,Yes,No,No,No,Yes,Yes,No,Yes,eCheck,5.0,162.45,wgu telecom
Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,4.0,194.97,wgu telecom
No,No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Autopay,10.0,204.96,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,Yes,No,No,Yes,No,Yes,No,No,eCheck,22.0,162.47,wgu telecom
Yes,No,Male,No,One year,None,Yes,Yes,Yes,Yes,No,No,Yes,No,No,eCheck,3.0,162.48,wgu telecom
Yes,No,Male,Yes,One year,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,7.0,215.16,wgu telecom
No,No,Female,No,Month-to-month,None,No,Yes,Yes,No,No,Yes,No,No,No,Autopay,7.0,127.51,wgu telecom
Yes,Yes,Female,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,eCheck,17.0,164.97,wgu telecom
Yes,Yes,Male,No,Two year,DSL,No,No,No,No,Yes,No,Yes,No,Yes,eCheck,8.0,129.96,wgu telecom
No,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Check,16.0,202.44,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,No,Autopay,6.0,137.47,wgu telecom
Yes,No,Female,Yes,One year,DSL,Yes,Yes,No,No,Yes,No,No,Yes,No,eCheck,9.0,172.47,wgu telecom
Yes,No,Female,Yes,One year,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Check,21.0,235.14,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,No,Yes,No,No,No,No,Yes,Yes,Autopay,14.0,117.48,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Autopay,13.0,207.48,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,Yes,No,eCheck,14.0,214.95,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Autopay,19.0,194.97,wgu telecom
Yes,No,Female,Yes,One year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,eCheck,5.0,220.13,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,Yes,No,No,Yes,eCheck,6.0,139.99,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,No,eCheck,5.0,159.93,wgu telecom
No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No,Yes,Autopay,4.0,104.96,wgu telecom
Yes,No,Female,Yes,Two year,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,eCheck,6.0,230.11,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,eCheck,1.0,200.13,wgu telecom
Yes,Yes,Female,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Check,30.0,114.95,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,Yes,Autopay,8.0,147.48,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Autopay,13.0,174.96,wgu telecom
Yes,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,14.0,174.98,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Autopay,8.0,154.99,wgu telecom
Yes,No,Male,No,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Autopay,26.0,167.48,wgu telecom
Yes,No,Male,Yes,Two year,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Check,4.0,197.47,wgu telecom
Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Autopay,30.0,194.98,wgu telecom
No,No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,eCheck,1.0,184.96,wgu telecom
Yes,No,Female,Yes,Two year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,eCheck,1.0,220.12,wgu telecom
No,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No,No,Autopay,4.0,149.98,wgu telecom
No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,No,Autopay,12.0,179.97,wgu telecom
Yes,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Autopay,5.0,169.94,wgu telecom
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,2.0,230.11,wgu telecom
Yes,Yes,Female,Yes,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,6.0,194.97,wgu telecom
No,No,Male,No,Month-to-month,None,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Check,24.0,152.51,wgu telecom
Yes,No,Female,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No,No,Autopay,6.0,149.98,wgu telecom
No,No,Male,No,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,No,No,Autopay,6.0,159.99,wgu telecom
No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Autopay,18.0,159.99,wgu telecom
Yes,No,Female,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Check,9.0,179.97,wgu telecom
No,No,Male,Yes,Month-to-month,None,Yes,No,No,No,No,No,Yes,Yes,No,eCheck,15.0,175.13,wgu telecom
Yes,No,Female,No,One year,None,Yes,Yes,Yes,No,Yes,No,No,No,Yes,eCheck,3.0,127.52,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,eCheck,13.0,207.47,wgu telecom
Yes,Yes,Male,Yes,Two year,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Autopay,8.0,220.15,wgu telecom
Yes,No,Male,Yes,One year,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,eCheck,7.0,207.48,wgu telecom
Yes,No,Female,No,Month-to-month,None,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Autopay,2.0,130.02,wgu telecom
No,No,Male,Yes,One year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,9.0,220.13,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Check,9.0,179.97,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,No,No,Yes,No,No,No,Yes,No,Check,9.0,137.46,wgu telecom
Yes,No,Female,Yes,Two year,DSL,No,No,No,No,Yes,Yes,Yes,Yes,No,Autopay,5.0,212.64,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Autopay,17.0,124.96,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Check,3.0,152.51,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,No,Yes,Yes,No,No,eCheck,3.0,117.47,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,Check,4.0,147.44,wgu telecom
No,Yes,Male,No,One year,None,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,10.0,92.49,wgu telecom
No,No,Female,No,Two year,DSL,No,No,No,Yes,Yes,No,No,No,Yes,eCheck,5.0,127.47,wgu telecom
No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,No,Yes,No,No,eCheck,4.0,119.96,wgu telecom
Yes,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,2.0,240.11,wgu telecom
Yes,No,Female,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,5.0,210.14,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Check,6.0,139.96,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Check,7.0,242.63,wgu telecom
Yes,No,Female,No,Two year,DSL,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Check,5.0,162.47,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Autopay,15.0,227.48,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Autopay,5.0,192.47,wgu telecom
Yes,No,Female,Yes,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,eCheck,5.0,207.48,wgu telecom
Yes,No,Male,Yes,One year,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Autopay,10.0,149.94,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,No,eCheck,12.0,114.95,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Check,6.0,117.44,wgu telecom
No,No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Autopay,10.0,137.44,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,No,No,No,Yes,No,No,No,No,Autopay,8.0,104.98,wgu telecom
No,Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Check,13.0,149.96,wgu telecom
Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Autopay,13.0,194.96,wgu telecom
Yes,No,Male,Yes,Two year,DSL,No,No,No,No,No,No,Yes,Yes,No,Autopay,6.0,187.61,wgu telecom
No,Yes,Male,No,Month-to-month,None,Yes,No,No,No,No,No,Yes,No,Yes,eCheck,2.0,104.96,wgu telecom
Yes,Yes,Male,No,Two year,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Autopay,3.0,127.49,wgu telecom
No,No,Female,No,One year,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,eCheck,2.0,142.5,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Autopay,15.0,149.99,wgu telecom
No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,No,No,Autopay,7.0,104.98,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,No,Yes,No,No,Yes,No,No,Yes,Yes,Autopay,15.0,172.47,wgu telecom
No,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,No,Check,9.0,162.47,wgu telecom
Yes,No,Male,No,One year,DSL,Yes,No,No,Yes,No,Yes,No,Yes,No,Autopay,18.0,162.45,wgu telecom
No,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Autopay,1.0,232.64,wgu telecom
Yes,No,Nonbinary,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Autopay,2.0,162.45,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,No,No,Yes,No,Yes,Check,1.0,137.47,wgu telecom
Yes,No,Male,No,Two year,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Autopay,1.0,152.46,wgu telecom
No,Yes,Male,No,Two year,None,Yes,No,Yes,No,No,No,Yes,No,No,Autopay,6.0,107.48,wgu telecom
Yes,No,Male,No,Month-to-month,None,Yes,Yes,No,Yes,Yes,No,No,No,No,eCheck,3.0,147.5,wgu telecom
No,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Autopay,6.0,197.47,wgu telecom
No,No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Check,2.0,184.98,wgu telecom
No,No,Male,No,Two year,Fiber Optic,No,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,7.0,182.47,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,No,No,No,Yes,No,Yes,No,Yes,No,Autopay,3.0,182.45,wgu telecom
Yes,No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,eCheck,18.0,197.49,wgu telecom
Yes,No,Female,No,One year,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,8.0,144.96,wgu telecom
No,Yes,Female,Yes,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,No,eCheck,7.0,252.64,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Yes,No,Autopay,23.0,210.13,wgu telecom
Yes,No,Female,No,One year,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,7.0,235.16,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Autopay,2.0,152.46,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,eCheck,6.0,197.47,wgu telecom
No,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,No,No,Yes,Autopay,6.0,125.01,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Check,8.0,182.44,wgu telecom
No,Yes,Female,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No,Yes,Autopay,4.0,104.96,wgu telecom
Yes,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,7.0,147.47,wgu telecom
Yes,Yes,Female,No,Two year,DSL,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Autopay,7.0,142.45,wgu telecom
No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,eCheck,11.0,182.5,wgu telecom
Yes,Yes,Female,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,18.0,114.95,wgu telecom
Yes,No,Male,No,One year,DSL,Yes,No,No,Yes,No,Yes,No,No,Yes,Autopay,5.0,127.46,wgu telecom
No,No,Female,Yes,One year,None,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,4.0,207.64,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,eCheck,15.0,242.64,wgu telecom
No,No,Male,Yes,Month-to-month,Fiber Optic,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Autopay,3.0,232.62,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,10.0,169.94,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,No,Check,20.0,157.48,wgu telecom
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,Yes,eCheck,6.0,162.47,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Check,3.0,164.98,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Autopay,21.0,220.16,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Autopay,21.0,164.99,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Check,12.0,287.64,wgu telecom
Yes,No,Female,Yes,Month-to-month,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,6.0,230.11,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Check,10.0,247.66,wgu telecom
No,No,Male,Yes,Two year,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,eCheck,6.0,194.96,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,12.0,255.12,wgu telecom
Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,eCheck,4.0,175.01,wgu telecom
No,No,Male,Yes,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Autopay,11.0,144.99,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,Autopay,5.0,147.44,wgu telecom
Yes,No,Male,No,Month-to-month,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,No,Autopay,8.0,172.46,wgu telecom
Yes,No,Female,Yes,One year,None,Yes,No,No,Yes,No,No,Yes,Yes,No,Autopay,5.0,197.63,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Check,10.0,157.48,wgu telecom
No,No,Female,Yes,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,Yes,No,No,eCheck,5.0,144.99,wgu telecom
Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Check,3.0,157.48,wgu telecom
Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,eCheck,25.0,235.16,wgu telecom
Yes,No,Male,Yes,Month-to-month,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,eCheck,22.0,187.64,wgu telecom
No,No,Female,No,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,eCheck,5.0,202.68,wgu telecom
Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Autopay,8.0,174.97,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,14.0,240.11,wgu telecom
Yes,No,Female,Yes,Two year,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,eCheck,18.0,172.44,wgu telecom
Yes,Yes,Female,Yes,Two year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,3.0,290.16,wgu telecom
Yes,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,eCheck,18.0,222.67,wgu telecom
Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Autopay,9.0,179.97,wgu telecom
