,children,age,online_security,monthly_charge,bandwidth_gb_year
4608,0,35,0,139.9349,1138.754327
8470,6,22,0,147.4421,5434.193829
9040,2,80,1,277.6375,6429.615341
7450,2,32,1,187.4974,6228.991967
4671,1,55,0,104.9629,503.8825694
5583,2,53,0,192.4404,5641.382534
3717,4,74,0,139.965,1826.031678
9327,0,25,0,142.4713,6068.222536
3928,1,77,0,202.4433,805.2130716
3617,4,19,0,104.9643,1200.247776
1425,7,35,0,147.442069,874.5485738
9378,2,50,1,245.1283,4420.771386
2919,1,88,0,194.9699,581.9611419
3819,0,50,0,104.9629,411.3879952
1871,3,58,0,104.962874,632.0815033
5487,0,79,0,149.9621,5057.818142
480,10,32,0,182.460772,3143.245184
5972,0,36,0,117.4392,4762.552792
9600,4,53,1,212.6557,5694.792189
2888,2,27,1,222.6362,2192.448535
6686,2,65,0,255.1336,6432.504958
6315,1,64,0,92.48802,4859.191572
527,1,48,0,235.137219,1304.999684
4129,0,87,0,172.4404,929.9153923
722,0,50,0,127.442069,1416.865765
5120,4,75,1,182.4653,5700.531807
4722,2,53,0,124.9781,352.0824182
220,3,23,0,159.947583,1046.054674
9188,2,53,1,245.1457,4759.907327
1935,1,55,1,225.145743,2017.858499
344,1,66,0,114.983787,289.9240291
8332,1,74,0,117.4872,4596.408358
9674,0,41,0,194.9992,5222.664785
4483,1,88,1,152.4798,858.2482994
9706,1,86,0,182.4608,5475.229519
8486,0,42,1,119.9568,4478.070702
9216,1,63,1,162.497,5088.812303
6903,9,38,1,107.4958,6671.033985
9154,1,34,0,210.1051,6174.837293
5960,0,42,0,134.9509,4796.917237
7034,0,85,0,220.1185,6128.760704
6051,2,76,0,162.4608,5812.281035
2391,0,26,1,255.1417,881.9915619
7181,0,68,0,197.4725,4755.552483
4328,2,20,0,252.6378,1187.095148
6452,2,57,0,114.9658,5389.076144
1983,0,45,1,162.465269,1457.990407
8246,2,87,0,182.4676,6036.455962
1554,0,46,0,137.469817,1534.097093
4850,3,83,0,240.1149,693.3489139
9095,3,49,0,142.4713,5152.428776
9922,0,28,0,217.4725,6427.502592
7532,1,68,1,152.5104,4999.929364
6853,3,46,1,204.961,5653.24762
4641,2,65,1,152.466,923.5059358
2881,4,41,1,237.6549,1658.402714
1677,0,54,1,162.497044,1284.691556
4885,2,35,0,144.9607,868.497965
1964,2,48,0,92.455141,1587.688033
901,1,34,1,212.655686,1101.650764
7130,3,29,1,184.961,6805.77977
3068,1,80,0,200.1323,1860.602438
2296,0,81,1,174.9581,1511.485403
6237,3,23,0,194.9699,4380.489566
5862,1,35,0,169.9928,4953.477077
296,0,24,1,147.478341,1446.203986
8778,1,81,0,134.9509,5869.863059
57,1,33,1,142.515576,958.1397059
7242,2,84,1,127.4783,6282.781525
4385,1,84,0,124.9935,896.0387666
2984,7,70,0,207.6094,1911.199623
27,0,70,0,139.981577,419.0508708
4407,3,37,0,159.9512,866.4850145
9877,4,50,0,124.9643,5725.195787
2676,2,63,0,139.9678,492.0307787
8545,0,33,1,175.0211,5447.179024
5262,1,31,0,222.6143,6799.261898
5841,1,33,0,114.9976,5316.712002
7021,1,86,0,124.9643,5738.755668
3248,0,85,0,197.4725,1602.19464
5667,1,25,0,129.9621,5075.832913
3884,4,44,1,267.6647,1173.536496
7663,1,65,1,194.9581,5820.96516
295,2,48,1,160.00128,958.6989908
3161,8,63,1,139.9568,1497.60783
2580,2,82,0,174.9768,917.029715
3870,2,79,0,124.9607,790.0442858
9210,3,75,0,134.9509,4796.464221
4404,0,70,1,222.6326,1559.606858
6952,3,56,1,95.01949,5940.981382
648,1,77,1,184.978458,1000.051774
1370,1,35,1,149.99153,1144.495358
9855,3,40,1,174.9919,5600.00441
6992,3,35,0,134.9801,6104.10638
5532,0,73,1,197.4876,5216.298758
9620,1,22,1,152.5022,5508.351465
5708,1,39,1,210.1563,5230.495459
4209,0,50,0,184.9496,909.8932554
681,1,56,0,127.442069,1390.292533
434,1,23,0,192.470522,801.4709595
9309,2,43,1,137.4686,5168.726317
4824,0,31,0,179.9656,1293.256696
9761,0,37,0,172.4705,6536.992768
3159,0,59,1,219.9902,848.4406611
1489,3,64,0,149.937833,1637.132389
2987,0,63,0,265.147,1851.332322
812,1,39,0,207.609354,993.8801154
1882,4,37,0,172.470522,1178.564131
9267,2,60,1,197.4876,5932.680423
4936,0,78,0,139.965,1304.494778
9935,2,33,1,225.1457,7014.911451
1940,4,26,0,265.146969,1114.124252
3296,6,89,0,184.967,1189.205287
3534,6,37,1,174.9744,2451.995707
4525,2,55,0,147.4564,1527.978319
3729,3,50,0,182.4608,778.200989
7015,4,53,1,149.9778,5764.23317
1612,2,49,1,245.128318,1608.852045
1181,1,49,0,172.47417,1454.923517
1375,4,64,1,235.159141,1370.86345
9224,0,50,0,139.9349,5813.907009
3946,3,70,0,162.4937,1294.33801
7210,1,85,0,179.9476,6025.591215
5211,6,70,0,149.9378,6448.95087
63,1,81,0,92.5018,1095.950634
626,2,55,0,275.133571,1045.360604
4421,1,33,1,255.1555,2057.979176
1669,1,38,1,130.006414,780.2278932
2112,3,37,0,242.6143,995.5630984
5804,3,56,1,149.9598,6017.607321
9763,1,60,1,172.4624,4849.091945
4032,2,25,1,130.0064,952.2685798
6545,0,66,0,139.9512,5534.496573
7948,0,60,1,194.9744,5971.766968
84,2,32,1,195.006206,631.7435653
9180,4,69,1,174.9755,6343.939228
1462,0,34,1,152.502178,1185.69317
2283,0,58,1,149.9778,570.5832494
2887,2,32,0,114.9658,1398.161322
5834,6,85,1,165.0182,5902.542522
684,7,42,0,212.641455,2129.856605
4469,7,42,0,149.9621,927.4696678
418,4,74,1,207.49737,922.1362066
5228,0,32,0,220.1323,6213.398927
4253,0,70,0,159.9794,1741.511236
2709,0,66,0,105.011,155.5067148
2357,7,68,0,144.9607,488.6462667
8059,6,79,0,139.965,5863.981501
1366,9,43,0,159.947583,1201.898094
6277,0,39,1,184.9853,6201.748972
3916,1,22,1,104.9923,562.038508
293,0,50,0,137.516476,665.4740915
2639,2,18,0,124.9781,1759.464436
9458,3,67,1,194.9882,4908.377893
1506,1,76,0,79.978861,1943.112927
9037,0,67,1,147.4783,3294.82859
7393,8,66,0,137.4836,5918.124559
1634,0,66,0,149.948316,1146.616856
2457,1,76,0,139.965,826.331106
9891,1,32,1,132.5127,5961.319084
5558,1,47,1,242.6326,4231.393427
9751,7,81,0,172.4579,5454.636911
2300,1,85,1,172.4555,655.4787829
4537,0,57,0,192.4567,1443.483853
2938,1,39,0,159.965,577.1681107
1563,1,48,1,152.455519,2764.347068
5689,0,86,0,169.9447,5089.775857
8658,1,45,1,144.9889,6686.415286
7517,4,31,0,232.6378,5088.789141
1979,0,35,0,169.967067,1576.607681
1883,0,86,1,162.482694,504.8041713
3803,4,49,1,184.9785,1145.212837
438,2,22,0,169.944668,1624.799349
4635,0,34,0,220.1323,939.0291358
4528,2,38,0,127.4421,1094.624835
4332,4,85,0,160.0122,678.2091311
3573,1,75,1,152.4555,1740.01586
8741,2,62,1,257.6549,5898.163738
8911,1,55,0,92.45514,4782.949918
4817,0,79,1,154.9919,1307.928901
6435,9,85,1,117.5015,5831.95427
2986,2,44,0,127.4887,1087.694968
7838,2,20,1,222.65,6125.213003
704,1,33,0,127.458638,1025.701125
2280,0,57,1,219.9902,921.6285886
8734,2,34,1,152.4884,5403.227013
4147,3,44,0,104.9643,1070.918591
5412,3,87,1,162.5007,3969.782146
373,1,87,1,107.48056,302.3848209
6405,2,71,0,157.4698,5372.80048
9223,1,83,1,132.5127,5659.754528
2585,4,82,0,167.4564,1508.478673
1332,5,45,0,220.161527,1618.259683
9572,6,85,0,172.4885,6072.286168
5282,4,23,0,172.4705,5245.572739
9131,1,18,0,137.4872,5695.712663
8315,1,60,1,162.5007,5493.632538
9809,0,58,0,184.9634,5867.267664
1784,9,33,1,152.479779,1257.485285
3182,2,29,0,139.9512,1344.195225
494,1,49,0,182.467607,1427.321538
7363,8,22,1,175.0048,5770.027634
2860,3,39,0,262.6106,1432.224687
7929,1,72,1,129.9598,4565.513222
4041,0,55,0,184.9963,1652.974278
7178,4,66,0,162.4538,5473.238444
2897,1,21,1,95.01949,1488.056133
366,4,42,0,112.484375,927.1279646
849,2,27,0,149.984492,824.8053885
7440,0,87,0,124.9643,4696.276365
9454,4,52,0,149.9447,4958.675342
4301,0,25,0,182.4608,2585.068343
2653,10,63,0,149.9621,2646.099689
3503,5,51,0,169.9928,450.2597019
1541,1,61,0,227.475448,560.8498056
4165,3,67,1,152.509,885.8344713
8866,1,82,1,117.5152,3701.191181
322,1,78,1,184.985293,1564.936841
2031,4,85,0,104.9643,1399.828665
813,0,52,1,117.468591,2268.392356
8939,1,55,0,137.4392,5590.582279
9375,0,53,1,232.652,6595.253777
1079,8,58,1,217.483972,1477.859712
2226,3,45,0,172.4567,1685.196727
9136,3,31,1,119.9897,5259.588349
9531,1,68,0,214.9663,4670.326557
2705,0,39,1,182.4653,518.7305953
6824,1,38,1,149.9778,5828.531986
7556,4,22,0,182.4433,6102.523323
1164,0,89,0,139.934918,2761.982244
3261,4,75,1,174.9618,563.1178513
4687,0,77,0,149.9707,1139.673714
1450,0,49,1,147.478341,297.5330656
3862,4,54,0,210.1051,1860.544496
6103,3,49,1,164.9785,5940.643763
9215,2,78,0,159.9512,5614.790593
7120,3,86,0,220.1185,5322.673552
6398,2,78,0,127.4421,4404.023519
9588,4,60,0,147.4601,5638.313929
6214,1,48,0,127.4738,5135.275111
9645,1,44,0,167.4564,5862.329668
5336,2,37,0,149.9447,5590.939054
4056,4,67,1,82.49655,696.2689909
9511,2,27,0,127.4738,5910.676012
2999,2,59,0,235.1372,1374.762505
9024,0,76,1,184.961,6419.007711
1231,3,37,0,182.443347,2207.637213
1514,0,85,0,182.446995,942.5247889
2313,3,49,1,154.9919,1515.049953
1451,2,69,0,124.993537,814.974232
5267,1,64,1,222.6362,4735.276139
6131,6,64,0,157.4698,4115.596496
8531,2,47,0,147.4601,5794.589213
6464,3,36,0,137.4392,4901.470822
838,2,24,1,139.979239,1214.758985
9915,1,58,0,232.624,4708.54891
8261,4,30,1,140.0013,5758.657128
6414,1,45,0,194.9663,4072.167583
8504,0,52,0,159.965,4462.198964
3567,3,37,0,214.9525,2111.077001
9264,2,47,0,204.9634,5756.010952
3087,1,75,1,140.0049,1077.205282
8643,1,38,0,255.1665,4953.439647
1714,6,31,0,139.99789,698.1794441
339,3,27,1,204.961033,1771.472597
9563,1,53,1,147.4783,4579.594851
5942,3,73,1,114.9728,5635.888386
9869,6,26,1,165.0182,4110.601155
8102,1,44,0,117.4392,6308.988621
8488,0,25,1,140.0049,5351.73548
588,4,37,0,134.980139,1299.066214
3365,0,83,0,275.1198,1206.792948
2670,1,56,1,119.9897,1516.686884
3589,3,19,0,214.9663,915.3457897
34,4,69,1,267.664655,1081.814362
28,3,20,0,200.132293,1259.415493
8553,0,41,1,235.1555,6467.932969
8117,6,61,0,162.4538,6172.259045
2170,0,44,1,200.1465,1146.224262
8377,1,57,0,240.1149,4886.937383
5620,0,79,0,262.6106,5884.613452
889,4,36,1,152.509013,740.0368256
6489,8,78,0,197.6288,5895.142664
3322,2,73,0,240.1149,1113.10611
9396,3,23,0,172.4705,4977.596828
3514,4,82,0,147.4601,855.2059629
4420,1,29,0,117.4392,955.1927172
8351,4,24,0,129.9483,6233.347563
5361,0,40,0,149.9776,4780.976448
3733,5,65,1,207.4811,1236.012715
9463,4,56,0,232.624,5067.734125
7081,3,57,0,152.4742,6202.942408
1654,2,29,0,200.132293,2271.84102
5032,1,34,1,159.9875,6105.925473
223,1,46,0,134.950905,345.0099528
8625,3,28,0,230.1051,5298.247055
6194,10,36,0,204.9496,6217.615271
1590,1,63,0,112.455141,667.4764252
5982,0,23,0,149.9621,5542.688477
3256,0,22,1,154.9618,1571.791129
6680,2,31,0,242.6143,5823.67123
4770,2,77,0,92.48802,682.9150315
2181,3,26,0,220.1478,1197.913731
6803,6,74,0,162.4538,6511.601292
4913,3,69,1,175.0062,1122.243782
6786,3,21,0,114.9509,6063.474111
4789,2,65,1,152.5104,2254.987769
1209,0,85,1,142.500692,747.9301328
421,2,29,0,162.460772,1143.685617
8740,1,80,0,159.9349,4446.381359
1706,0,41,0,147.442069,444.0474919
1158,0,82,0,162.471255,1746.011415
2306,3,63,0,117.4872,1844.034359
273,0,49,0,134.980139,1129.529441
171,0,31,0,159.965008,1522.289512
3956,3,36,0,92.48802,983.5145753
6696,1,67,1,152.4952,5140.463847
3188,2,65,0,182.4433,1215.356987
8132,4,79,0,149.9621,5487.786212
4808,1,73,1,139.9875,1039.187211
8083,0,26,0,164.967,6205.739711
1564,1,36,0,162.460772,1145.807042
1782,7,18,1,129.977753,1239.519501
843,2,60,0,212.641455,1404.974888
9345,4,55,0,192.4567,4537.352503
4461,0,61,1,232.652,860.9528478
904,0,48,0,134.980139,1199.466728
5911,0,21,1,137.4978,5847.437103
9950,0,19,0,192.4404,6366.303939
9297,3,77,1,132.4798,6093.659885
1547,2,72,1,194.958118,580.4609705
2080,3,67,0,194.9663,1345.940597
9881,3,28,0,149.9483,4444.639718
3985,3,76,0,159.9805,798.557141
6389,1,71,0,222.6609,4719.932145
7579,2,30,0,127.5067,5265.959419
9245,0,35,1,197.4702,5180.245459
6567,3,33,0,242.6281,4413.16902
8206,1,32,0,210.1518,6397.46237
3820,3,47,1,162.4526,1415.214639
2646,1,18,1,137.4686,1688.294747
4454,1,48,1,175.0211,1019.803014
7159,0,68,0,160.0122,5879.343088
8221,2,75,1,235.1555,5588.672503
8596,1,88,0,252.624,5305.10923
9589,4,66,0,187.6094,6310.455935
6071,4,73,1,207.4974,5141.242839
2155,4,19,1,107.4806,646.5215872
6712,4,73,0,182.49,5514.862549
3715,0,33,0,149.9447,1114.579555
4057,3,61,0,114.9509,1653.932692
5952,4,59,0,114.9838,4910.178894
3102,0,50,0,182.49,1171.237442
558,3,83,0,159.934918,1043.790368
4610,8,79,1,184.9715,1144.514093
6978,3,58,0,149.9707,5804.870522
1436,8,86,0,214.966286,2252.093831
507,3,48,0,112.455141,1163.407505
1869,5,84,1,174.961766,1173.562649
755,0,78,0,220.132293,2229.321043
5419,0,65,0,144.9607,5516.527396
4050,0,42,0,137.4392,638.0977736
8089,0,20,1,152.5022,6097.873428
3836,3,85,1,152.4884,2200.745774
2118,3,53,0,174.9768,1840.767702
6152,1,77,1,199.9902,6269.18922
7808,0,32,0,182.4538,6211.505298
501,2,28,0,194.969934,785.6266383
6259,1,52,0,192.4404,4576.841874
9743,2,32,0,114.9658,3964.304244
1539,1,45,0,112.455141,465.2586783
6141,9,29,0,159.9656,6287.497445
1211,0,80,0,187.656013,894.4102553
9122,10,83,1,210.127,3802.601867
672,3,18,0,92.455141,1737.354579
3377,0,35,0,255.1336,1674.511863
8783,0,18,0,134.9509,3515.623391
1464,0,24,0,207.609354,1061.749813
1192,1,56,0,127.474951,1188.311266
6984,0,77,1,162.497,6199.518144
1872,2,61,1,174.958118,1054.384865
3590,1,37,1,152.509,1005.757327
6726,2,27,0,117.472,5152.438344
505,0,62,0,242.610632,1210.047397
8118,1,38,0,240.1149,4693.998061
506,1,31,0,139.934918,2329.912456
9449,4,21,0,187.6422,5829.765326
7131,4,56,0,265.147,6557.309417
4807,2,64,0,220.1323,968.8818009
7303,3,27,0,114.9509,4707.304977
1773,8,19,0,162.500489,1228.537824
6854,2,65,0,159.965,5838.199467
4906,4,23,0,220.1615,2605.553463
797,4,67,0,149.97755,1096.234525
8785,2,22,0,144.9607,4429.96209
7070,2,74,0,174.9699,6447.106744
2829,2,50,0,159.9805,472.1439723
9319,3,42,0,220.1185,4750.441086
8737,6,56,0,147.4738,5401.717861
312,0,28,0,124.97808,987.653655
746,1,43,0,104.97808,982.8832681
3569,1,51,1,217.484,1131.921
790,4,39,0,159.965581,1354.241904
2476,0,52,0,182.49,1058.595152
9325,1,60,1,152.466,4337.149997
2570,0,63,1,162.4833,1636.48816
5286,3,35,0,149.9483,5831.475339
5215,7,50,0,134.9509,4137.953493
2163,0,18,0,262.6106,1539.085061
6577,2,43,1,172.4624,5494.745121
8449,2,55,0,287.6427,4168.120303
380,5,55,0,182.460772,3099.922244
8508,5,68,1,184.9939,5426.206923
1292,3,23,0,147.473844,638.4642534
1912,3,63,1,140.004928,1579.867444
599,4,66,0,204.963371,1929.06738
3892,8,62,1,190.1599,1596.133478
4141,3,43,0,114.9658,468.36494
1652,2,20,0,192.440432,933.8036457
5224,0,73,0,139.965,4928.976354
1893,1,29,0,172.457857,2057.159348
1944,2,65,1,164.988941,943.490788
3395,1,80,0,194.9699,1097.005959
5479,0,71,0,139.9816,5559.919752
9769,0,83,0,275.1198,5890.997983
375,8,56,1,165.018175,908.7910203
1966,0,41,1,247.664655,2079.818241
3957,4,67,0,159.9794,2099.998325
7135,2,63,1,95.01949,4605.854101
7478,2,38,1,152.4624,5662.535202
4505,2,45,0,114.9658,1176.673652
9580,0,44,0,162.4713,5757.58642
5288,2,27,0,169.9928,5757.017238
1471,7,74,1,154.961766,2356.021599
3346,1,69,1,235.1555,1446.866289
6253,1,18,0,162.4713,4723.305276
2853,1,37,0,204.9496,1264.373724
8988,4,23,1,194.9882,5709.246946
9775,0,51,0,149.9483,6090.325352
6459,0,74,0,255.1198,6545.503926
4062,1,66,0,172.4871,992.6561706
5863,0,19,0,172.4441,6127.72243
4306,0,77,1,152.4555,1357.166073
4877,1,50,1,152.4624,944.6151981
7249,2,77,0,197.4725,6576.787992
5273,1,81,1,187.4673,4334.844433
3990,0,34,0,117.4872,777.0645087
1049,0,74,0,147.460067,811.3375327
6175,7,36,1,94.97283,6234.269377
6926,3,74,0,179.9656,3697.234681
7864,4,22,0,104.9629,6064.179779
2035,8,82,1,152.509,939.7724617
4039,1,49,1,167.4847,2196.848941
6875,3,40,1,162.497,5656.931032
9354,1,29,1,129.9915,6235.066316
1972,3,66,0,240.114868,715.7384607
5072,3,72,0,129.9621,6300.301731
2099,1,60,1,164.9785,1679.924727
1499,0,60,0,214.966286,1546.673637
9612,1,52,0,202.4433,5876.563966
652,1,46,0,245.146969,1502.677072
170,0,53,1,164.985293,2144.735024
4085,4,44,0,149.9447,1390.860478
242,1,88,1,115.002061,283.39178
5710,8,23,0,172.4705,6089.889713
6972,1,22,1,107.5286,5740.030049
2756,1,21,1,149.9915,631.6069096
6884,3,61,1,137.4686,4980.936045
5446,0,45,0,142.4713,5128.882309
2076,5,67,0,92.5018,832.638565
4103,1,61,0,192.4705,2094.027389
9559,0,56,0,172.4404,5395.692973
7571,0,33,0,172.4567,5735.541215
9466,0,33,1,184.9853,5104.605923
4894,1,64,0,147.4738,814.9942633
6692,3,27,0,149.9621,5089.070944
8054,0,35,0,114.9509,6024.452028
5389,2,63,0,127.4586,4852.623608
9373,10,55,1,162.497,6211.784273
8021,1,24,1,187.4847,4820.053166
8604,1,40,0,159.965,5885.871902
4480,0,51,0,149.9621,1199.678982
8326,1,79,0,172.4404,4378.519675
4078,5,55,1,222.6792,2569.290158
640,3,68,0,192.440432,2072.694492
1270,1,48,0,194.976769,768.0341067
2778,0,36,1,120.0035,1595.672481
9497,0,30,1,194.9581,5071.720337
3861,1,58,1,242.6326,816.9425462
3480,2,38,0,147.4601,1676.80832
1534,3,44,0,174.976769,1819.555319
325,1,43,0,92.488023,623.7865683
2338,0,30,1,117.5152,1183.953112
3980,3,76,0,144.9607,617.0043032
6877,0,54,0,92.45514,6362.332762
4054,0,79,1,265.1283,1537.073388
2237,0,58,1,127.482,249.3579815
7106,3,63,0,139.965,6509.495708
9668,3,48,1,152.4624,4995.383757
4745,4,56,0,230.1344,1904.863682
864,1,23,1,194.988208,868.9523115
6203,0,69,0,192.4885,5546.205773
5508,3,81,0,149.9913,6193.00568
7429,1,40,0,202.4433,4393.136079
371,8,61,0,192.48852,1239.802036
6296,0,38,0,222.6143,6466.569641
5551,1,52,0,149.9483,5055.536874
5723,3,37,0,157.4698,5209.85908
5899,8,26,1,129.9915,5148.146411
9287,3,48,0,187.6094,5833.458374
7871,0,86,1,174.9744,4778.620483
2364,1,27,0,147.4713,639.7154381
3213,1,75,0,127.5067,609.1874835
911,4,43,0,172.470522,1148.280787
9047,1,73,0,200.1185,4746.697941
9790,10,31,0,242.6281,6900.075325
7289,3,44,1,164.9889,5947.364442
9958,1,29,0,137.4872,5598.228474
6536,4,45,0,149.9913,4976.840428
9192,4,54,0,214.9663,5550.321643
1423,1,89,0,139.981577,738.9464573
9807,2,37,0,144.9607,6032.772687
479,4,56,0,230.105118,1103.594576
662,0,48,1,120.003499,1200.853937
4476,2,22,0,124.9781,716.9177978
8982,3,59,0,152.4907,4688.843781
8077,1,57,1,147.4783,6024.728963
2988,1,84,0,112.4551,576.1637573
1119,0,47,0,114.997564,284.0777847
2776,2,33,0,182.4433,1598.041286
9835,3,80,1,107.4806,4751.67301
5003,1,73,0,137.4392,3811.689374
6649,2,66,0,139.983,6047.422965
7254,4,33,0,134.9801,5875.620719
4427,0,62,0,220.1323,1109.681229
7431,0,62,0,112.4844,5521.842531
3981,1,47,1,150.0208,1139.265638
6351,2,83,1,187.4847,5624.671786
2893,1,82,0,147.4421,1103.016586
2669,1,58,1,202.65,1725.323883
3977,0,51,0,129.9483,928.1223375
5259,2,80,1,149.989,4928.588057
279,2,84,0,232.637807,1537.109931
6730,0,25,1,212.6228,4832.995631
6104,0,83,0,152.4441,6179.798997
7020,3,46,0,114.9509,6393.943282
1694,8,85,0,144.960655,916.7201648
8912,0,48,0,169.9928,5645.995697
3479,1,51,0,129.995,726.5900328
4416,6,19,1,187.5139,2141.951697
7592,0,79,1,197.484,5412.849843
6282,2,77,0,169.9447,3939.000784
5603,8,50,1,119.9568,4839.103673
8619,6,81,0,127.4601,5932.432985
7780,1,23,0,232.624,6842.591894
4296,3,54,0,169.9378,1170.725967
4593,1,66,0,144.9607,753.7251984
4844,1,28,1,152.5104,976.4774375
2209,10,41,0,104.9643,869.1995017
7605,1,57,0,187.6422,5918.425104
5501,1,39,0,139.9979,5747.351224
184,1,24,1,209.993134,1433.616898
4800,2,84,1,137.4686,700.4813335
4845,2,73,0,117.472,468.5975061
2350,4,75,0,184.9797,2441.738277
553,3,52,1,202.636202,1883.962411
1397,10,42,0,124.97808,1425.346946
1384,3,37,0,159.951231,432.0011277
9182,2,24,0,105.011,6024.865758
9817,3,50,0,129.9621,5500.52688
297,3,79,0,127.488728,774.6125757
443,4,61,0,267.642733,1803.917571
7338,0,63,0,157.4836,3748.057497
2077,8,67,0,252.624,1671.56323
7815,0,70,0,162.4608,6185.878482
2229,6,49,0,129.9621,1776.755229
2842,0,23,0,112.4551,463.9097938
2537,2,64,1,184.9853,570.4516207
8145,0,27,0,162.4713,4826.3573
9536,0,46,0,187.656,6139.695302
6443,0,52,0,179.9656,5674.466677
3367,0,82,0,104.9781,1673.87195
4486,0,28,0,202.4433,1438.364422
2578,6,85,0,194.9663,1815.26546
1131,4,42,1,194.988208,875.1196392
4818,1,51,1,167.4847,3049.419775
320,1,45,1,114.972827,373.2772664
1371,3,81,0,204.979684,1558.309095
4042,3,58,0,184.967,1551.900975
9125,4,33,1,267.6647,6162.045297
5145,2,19,1,197.4945,5807.061171
907,0,42,0,184.967019,1196.870152
9426,3,84,1,104.9923,3784.619457
3950,1,42,1,187.4673,1482.762683
6145,0,18,0,204.9797,5133.478559
8886,2,36,0,182.4676,5697.615578
6695,1,50,0,105.011,4827.450022
4977,3,80,0,287.6427,1292.497362
6092,1,65,0,172.4742,5808.42996
8408,1,30,1,149.989,5732.340761
926,3,26,0,172.503404,900.6921852
6143,6,69,1,204.961,6396.472998
15,3,39,1,177.65076,1840.014467
143,3,31,0,139.965008,1313.492851
2363,3,80,1,164.9647,2031.533699
129,5,32,0,220.161527,1244.296865
1161,8,34,0,92.455141,1971.551928
7551,3,76,1,197.484,6879.458804
6129,4,29,0,172.4404,5669.10693
4665,2,25,1,172.4624,1050.342085
5660,0,38,1,187.4847,5502.689262
6460,1,37,1,152.466,4912.337528
1876,1,81,0,275.119794,775.7502457
2488,8,18,0,275.1336,2596.374524
5327,3,53,0,159.9476,5042.24777
9361,1,68,0,137.4392,5874.0733
1182,2,31,0,144.960655,1014.854462
6135,3,52,0,112.4551,5092.44112
6377,1,86,1,115.0021,4203.629126
1170,1,76,1,139.979239,1210.196851
2182,0,75,0,134.9509,1321.951163
3371,7,54,1,139.9792,1537.25042
8040,1,66,1,154.9618,6364.89034
1859,0,24,0,242.657291,2422.117328
4860,3,69,0,117.4392,1196.239363
9255,0,45,0,217.4725,5099.333841
8345,1,49,1,117.4686,5832.660558
7347,4,64,0,230.1344,5930.862567
4864,2,32,1,194.9581,1593.998248
9886,3,89,1,152.4624,6211.528262
6388,1,35,1,207.4673,5834.02568
3121,8,39,0,184.967,827.0229817
387,4,75,0,167.456419,556.2193844
7785,0,51,0,192.4567,5460.847751
1032,0,38,1,139.987503,1638.77523
7852,1,62,0,105.011,5455.249378
5418,1,83,0,187.6422,5709.211479
931,8,41,0,227.475448,1258.30276
4019,6,72,0,162.447,1379.566758
691,3,44,0,192.48852,586.1493754
5298,0,57,0,124.9643,5284.821838
6658,4,69,0,149.9483,5409.075897
829,1,56,0,194.976769,1120.116258
3498,0,32,0,147.4738,2001.025597
2081,2,67,0,137.4392,1415.406657
9440,0,49,1,265.1283,4224.921196
44,0,22,1,242.632554,1412.736809
3939,0,25,1,174.9882,1058.572083
5257,4,80,1,270.1604,5655.619699
8437,1,71,0,182.4608,5396.238934
4319,1,76,0,112.4551,770.7911152
2965,7,46,0,127.4601,1651.037252
3969,2,37,1,129.9598,2007.890075
1187,2,43,0,139.934918,2418.099487
284,8,32,1,232.652038,1998.680227
8873,2,53,0,207.6094,6386.697896
4159,2,83,0,172.4742,364.1796625
3092,9,74,1,94.97283,1189.368234
4556,4,44,0,127.4601,1735.029687
4584,3,78,1,172.4624,786.1863432
4323,2,45,1,127.5112,2087.790899
5504,0,40,1,265.1283,5803.879938
7074,7,33,0,127.4421,5962.353614
3364,4,54,0,134.9509,765.5762196
8025,4,51,1,172.5104,5922.812261
3195,0,69,0,182.447,682.7780764
8810,2,50,1,127.4958,5979.37126
969,1,44,0,200.132293,1784.759356
3734,1,33,0,204.9634,1401.299612
925,0,81,1,164.985293,1083.381195
9496,0,88,0,167.4564,3643.379954
6451,0,66,0,172.4404,6512.990012
8797,2,67,0,134.9509,5711.519767
2851,2,66,0,159.9794,1603.711289
5180,1,75,1,117.4835,6044.380838
6723,1,53,1,140.0013,5841.787149
9322,0,37,1,132.466,6613.783896
7810,1,36,0,152.4579,5624.550489
4471,1,62,1,149.9915,909.7634001
5168,3,82,0,194.9525,5616.467158
4348,0,81,1,164.9715,866.3476333
7903,0,66,0,159.9656,4878.10553
3626,4,30,1,149.9741,1541.0921
1789,0,26,0,159.951231,509.6727126
8293,1,39,1,177.6508,5916.705233
2059,2,75,0,232.624,1206.219227
4013,1,59,0,184.9634,1028.550477
1902,2,45,0,182.490006,762.3743815
5573,0,39,0,204.9634,4866.729815
6925,1,26,1,127.4783,5563.341225
75,2,67,1,270.160419,1648.102673
2345,2,40,1,195.0062,1646.32071
5484,3,85,0,275.1336,4315.04425
430,4,86,0,114.965789,1376.095043
4586,1,57,0,114.9509,1613.057137
8099,2,51,1,187.4811,4290.116592
8457,0,74,1,245.1457,5837.201318
8156,3,21,0,267.6427,6012.6506
7893,0,41,0,124.9643,4665.934869
1553,4,44,0,192.440432,619.3340158
240,0,71,0,187.609354,2512.36494
783,2,72,0,192.470522,780.3612617
3066,1,57,0,202.4433,1150.220789
977,0,56,1,154.975543,1202.670117
2941,1,35,0,147.4893,678.2257258
5377,5,53,0,159.9656,5503.322362
